Seed264462_1	 Proteobacteria	delta/epsilon subdivisions	Bdellovibrio bacteriovorus HD100
Seed265072_7	 Proteobacteria	Betaproteobacteria	Methylobacillus flagellatus KT
Seed266117_6	 Actinobacteria	Actinobacteria (class)	Rubrobacter xylanophilus DSM 9941
Seed266834_1	 Proteobacteria	Alphaproteobacteria	Sinorhizobium meliloti 1021
Seed266940_5	 Actinobacteria	Actinobacteria (class)	Kineococcus radiotolerans SRS30216
Seed267608_1	 Proteobacteria	Betaproteobacteria	Ralstonia solanacearum GMI1000
Seed267671_1	 Spirochaetes	Spirochaetes (class)	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130
Seed269482_1	 Proteobacteria	Betaproteobacteria	Burkholderia cepacia R1808
Seed269798_12	 Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophaga hutchinsonii ATCC 33406
Seed269799_3	 Proteobacteria	delta/epsilon subdivisions	Geobacter metallireducens GS-15
Seed272560_3	 Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei K96243
Seed272561_1	 Chlamydiae/Verrucomicrobia group	Chlamydiae	Chlamydia trachomatis D/UW-3/CX
Seed272562_1	 Firmicutes	Clostridia	Clostridium acetobutylicum ATCC 824
Seed272623_1	 Firmicutes	Bacilli	Lactococcus lactis subsp. lactis Il1403
Seed272624_3	 Proteobacteria	Gammaproteobacteria	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
Seed272626_1	 Firmicutes	Bacilli	Listeria innocua Clip11262
Seed272947_1	 Proteobacteria	Alphaproteobacteria	Rickettsia prowazekii str. Madrid E
Seed281090_3	 Actinobacteria	Actinobacteria (class)	Leifsonia xyli subsp. xyli str. CTCB07
Seed283942_3	 Proteobacteria	Gammaproteobacteria	Idiomarina loihiensis L2TR
Seed290397_13	 Proteobacteria	delta/epsilon subdivisions	Anaeromyxobacter dehalogenans 2CP-C
Seed290402_34	 Firmicutes	Clostridia	Clostridium beijerincki beijerinckii NCIMB 8052
Seed290633_1	 Proteobacteria	Alphaproteobacteria	Gluconobacter oxydans 621H
Seed292415_3	 Proteobacteria	Betaproteobacteria	Thiobacillus denitrificans ATCC 25259
Seed292459_1	 Firmicutes	Bacilli	Symbiobacterium thermophilum IAM 14863
Seed295405_3	 Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroides fragilis YCH46
Seed296591_1	 Proteobacteria	Betaproteobacteria	Polaromonas sp. JS666
Seed298386_1	 Proteobacteria	Gammaproteobacteria	Photobacterium profundum SS9
Seed299768_3	 Firmicutes	Bacilli	Streptococcus thermophilus CNRZ1066
Seed300852_3	 Deinococcus-Thermus	Deinococci	Thermus thermophilus HB8
Seed302409_3	 Proteobacteria	Alphaproteobacteria	Ehrlichia ruminantium str. Gardel
Seed309807_19	 Bacteroidetes/Chlorobi group	Bacteroidetes	Salinibacter ruber DSM 13855
Seed316407_3	 Proteobacteria	Gammaproteobacteria	Escherichia coli W3110
Seed317025_3	 Proteobacteria	Gammaproteobacteria	Thiomicrospira crunogena XCL-2
Seed319701_3	 Firmicutes	Bacilli	Streptococcus pyogenes MGAS6180
Seed323098_3	 Proteobacteria	Alphaproteobacteria	Nitrobacter winogradskyi Nb-255
Seed323261_3	 Proteobacteria	Gammaproteobacteria	Nitrosococcus oceani ATCC 19707
Seed326298_3	 Proteobacteria	delta/epsilon subdivisions	Thiomicrospira denitrificans ATCC 33889
Seed326442_4	 Proteobacteria	Gammaproteobacteria	Pseudoalteromonas haloplanktis TAC125
Seed335992_3	 Proteobacteria	Alphaproteobacteria	Candidatus Pelagibacter ubique HTCC1062
Seed342108_5	 Proteobacteria	Alphaproteobacteria	Magnetospirillum magneticum AMB-1
Seed345073_6	 Proteobacteria	Gammaproteobacteria	Vibrio cholerae O395
Seed360095_3	 Proteobacteria	Alphaproteobacteria	Bartonella bacilliformis KC583
Seed360110_3	 Proteobacteria	delta/epsilon subdivisions	Campylobacter jejuni subsp. jejuni 84-25
Seed360111_3	 Proteobacteria	delta/epsilon subdivisions	Campylobacter jejuni subsp. jejuni CF93-6
Seed36870_1	 Proteobacteria	Gammaproteobacteria	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
Seed36873_1	 Proteobacteria	Betaproteobacteria	Burkholderia xenovorans LB400
Seed370552_3	 Firmicutes	Bacilli	Streptococcus pyogenes MGAS10270
Seed376686_6	 Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacterium johnsonia johnsoniae UW101
Seed386656_4	 Proteobacteria	Gammaproteobacteria	Yersinia pestis Pestoides F
Seed393117_3	 Firmicutes	Bacilli	Listeria monocytogenes FSL J1-194
Seed393130_3	 Firmicutes	Bacilli	Listeria monocytogenes J0161
Seed399726_4	 Firmicutes	Clostridia	Thermoanaerobacter sp. X514
Seed445932_3	 unclassified Bacteria	Elusimicrobium	Elusimicrobium minutum Pei191
Seed76114_4	 Proteobacteria	Betaproteobacteria	Azoarcus sp. EbN1
