Rxn ID,EC Number
rxn10147,Undetermined
rxn04602,1.14.13.-
rxn04603,1.13.11.16
rxn04604,3.7.1.-
rxn04598,1.14.12.19
rxn04600,1.3.1.-
rxn01364,1.1.99.25
rxn00847,1.1.99.8
rxn12571,Undetermined
rxn02029,1.4.1.12
rxn02071,1.4.3.3
rxn07584,2.7.7.63
rxn00449,1.1.3.8
rxn02279,1.1.3.8
rxn11399,Undetermined
rxn01843,3.5.1.4
rxn01840,1.2.1.5
rxn01842,6.2.1.30
rxn03407,6.3.1.2
rxn03903,2.7.8.13
rxn03933,2.4.1.227
rxn03869,3.5.1.4
rxn00584,1.3.1.25
rxn03897,1.14.12.10
rxn03898,1.14.12.10
rxn01041,1.1.1.175
rxn01751,3.1.1.68
rxn01753,4.2.1.82
rxn01028,1.3.1.2
rxn02190,3.5.2.2
rxn03188,3.5.1.6
rxn00143,3.2.2.9
rxn05958,4.4.1.21
rxn08340,Undetermined
rxn01093,2.7.7.58
rxn01094,1.3.1.28
rxn02177,3.3.2.1
rxn03126,1.8.98.1
rxn05585,Undetermined
rxn10067,Undetermined
rxn02321,5.1.3.22
rxn04928,4.1.1.85
rxn07492,3.1.1.-
rxn01489,2.5.1.32
rxn02945,2.5.1.32
rxn05031,2.5.1.32
rxn04713,2.8.3.-
rxn04712,4.1.99.-
rxn04132,Undetermined
rxn04456,Undetermined
rxn04457,Undetermined
rxn03535,2.5.1.17
rxn03540,6.3.5.10
rxn11650,1.16.8.1
rxn02791,2.3.2.2
rxn02792,2.3.2.2
rxn01324,1.1.1.153
rxn02985,1.1.1.153
rxn02986,4.2.3.12
rxn12622,Undetermined
rxn11404,Undetermined
rxn12613,Undetermined
rxn10855,Undetermined
rxn05614,Undetermined
rxn05619,TC-3.A.1.8
rxn05724,Undetermined
rxn12521,Undetermined
rxn12595,Undetermined
rxn05694,Undetermined
rxn05689,Undetermined
rxn09661,Undetermined
rxn12545,Undetermined
rxn12570,Undetermined
rxn05688,Undetermined
rxn05506,Undetermined
rxn12584,Undetermined
rxn05189,Undetermined
rxn01114,2.7.1.16
rxn01383,1.1.1.56
rxn00208,1.4.3.5
rxn01807,2.7.1.35
rxn01750,4.2.1.45
rxn00702,2.7.7.33
rxn00479,1.13.12.3
rxn02222,3.5.1.4
rxn05731,Undetermined
rxn05183,Undetermined
rxn12596,Undetermined
rxn05720,Undetermined
rxn10343,Undetermined
rxn05188,Undetermined
rxn12586,Undetermined
rxn05502,Undetermined
rxn12574,Undetermined
rxn05730,Undetermined
rxn05721,Undetermined
rxn05727,Undetermined
rxn10344,Undetermined
rxn12573,Undetermined
rxn10188,Undetermined
rxn05696,Undetermined
rxn01631,2.6.1.48
rxn01729,1.2.1.20
rxn12528,Undetermined
rxn12580,Undetermined
rxn12610,Undetermined
rxn05700,Undetermined
rxn05706,Undetermined
rxn02527,1.1.1.-
rxn08470,Undetermined
rxn01203,4.1.2.-
rxn02883,4.2.1.-
rxn05174,Undetermined
rxn12543,Undetermined
rxn05719,Undetermined
rxn12609,Undetermined
rxn05709,Undetermined
rxn05723,Undetermined
rxn05599,Undetermined
rxn12536,Undetermined
rxn12534,Undetermined
rxn12530,Undetermined
rxn12520,Undetermined
rxn10149,Undetermined
rxn05714,Undetermined
rxn00642,4.2.1.47
rxn03962,1.1.1.271
rxn05698,Undetermined
rxn00321,5.4.3.2
rxn02344,5.4.3.3
rxn12560,Undetermined
rxn12585,Undetermined
rxn00211,1.1.1.22
rxn09996,Undetermined
rxn05620,Undetermined
rxn05187,Undetermined
rxn12538,Undetermined
rxn11403,Undetermined
rxn05193,Undetermined
rxn12562,Undetermined
rxn05699,Undetermined
rxn00328,4.1.3.16
rxn02339,2.6.1.23
rxn12624,Undetermined
rxn12550,Undetermined
rxn12541,Undetermined
rxn12527,Undetermined
rxn12567,Undetermined
rxn05716,Undetermined
rxn12557,Undetermined
rxn05726,Undetermined
rxn11684,2.5.1.-
rxn07468,1.14.99.-
rxn05711,Undetermined
rxn05715,Undetermined
rxn05526,TC-2.A.51
rxn05661,Undetermined
rxn01999,2.6.1.33
rxn09289,Undetermined
rxn05629,Undetermined
rxn05697,Undetermined
rxn05692,Undetermined
rxn05507,Undetermined
rxn08086,2.3.1.51
rxn08549,2.3.1.15
rxn08085,2.3.1.51
rxn08548,2.3.1.15
rxn04724,1.14.13.1
rxn04745,1.14.13.1
rxn02875,3.5.1.28
rxn04385,4.1.1.81
rxn04384,6.3.1.10
rxn03406,6.3.1.2
rxn06799,2.1.1.37
rxn07438,1.8.4.12
rxn02569,2.7.9.3
rxn12627,Undetermined
rxn03839,3.5.1.4
rxn08087,2.3.1.51
rxn08550,2.3.1.15
rxn01416,2.8.1.1
rxn05890,1.7.2.1
rxn05501,Undetermined
rxn02853,1.2.1.3
rxn02632,1.1.1.76
rxn05647,Undetermined
rxn00675,6.2.1.1
rxn00986,6.2.1.1
rxn04748,1.14.13.1
rxn02788,5.3.2.-
rxn12577,Undetermined
rxn08345,Undetermined
rxn05105,3.1.3.77
rxn05106,3.1.3.77
rxn02518,3.6.1.19
rxn03906,1.14.13.1
rxn08089,2.3.1.51
rxn08552,2.3.1.15
rxn02275,3.5.1.4
rxn02166,3.1.3.1
rxn01450,4.1.1.43
rxn01819,3.5.3.18
rxn03384,4.1.1.37
rxn05223,Undetermined
rxn01390,2.7.1.5
rxn04016,2.1.1.144
rxn02733,6.6.1.1
rxn02959,2.1.1.11
rxn00431,1.4.99.3
rxn02313,1.1.1.-
rxn01025,3.5.4.1
rxn00433,1.5.3.1
rxn01715,1.4.3.4
rxn05251,6.2.1.3
rxn00827,2.7.7.43
rxn03446,4.2.3.1
rxn02916,Undetermined
rxn01133,2.3.1.79
rxn02596,3.2.1.22
rxn01685,1.1.1.5
rxn09988,3.2.1.55
rxn09265,2.3.1.57
rxn00792,6.2.1.11
rxn05252,6.2.1.3
rxn00016,3.2.1.52
rxn07295,1.4.3.19
rxn00999,1.13.11.27
rxn00065,4.6.1.1
rxn03838,3.2.1.22
rxn08300,2.7.1.107
rxn08298,2.7.1.107
rxn00095,3.6.1.41
rxn00206,1.15.1.1
rxn00638,1.1.1.132
rxn02122,1.2.1.3
rxn00714,3.6.1.17
rxn00331,4.1.3.24
rxn12526,Undetermined
rxn00689,6.3.2.17
rxn00038,3.1.1.22
rxn08707,2.5.1.-
rxn01709,4.2.1.28
rxn03883,1.1.1.11
rxn09450,6.2.1.3
rxn12583,Undetermined
rxn01639,3.5.3.8
rxn00768,4.2.1.30
rxn04750,1.1.1.35
rxn02028,2.1.1.5
rxn00358,5.4.99.9
rxn01259,3.2.1.10
rxn09448,6.2.1.3
rxn00776,4.2.1.70
rxn08294,2.7.1.107
rxn00775,3.6.1.13
rxn05734,Undetermined
rxn00758,3.1.4.2
rxn05024,4.1.3.36
rxn09264,2.3.1.57
rxn10335,Undetermined
rxn10334,Undetermined
rxn01210,6.3.2.12
rxn02377,1.1.1.-
rxn08296,2.7.1.107
rxn01385,1.1.1.9
rxn03409,6.3.1.2
rxn04601,1.14.13.-
rxn02925,2.6.1.18
rxn05012,2.1.3.9
rxn00882,3.1.3.25
rxn00883,3.1.3.25
rxn00543,1.1.1.1
rxn11932,1.7.99.7
rxn01653,6.3.3.2
rxn01962,3.6.1.19
rxn00484,4.1.1.28
rxn07307,4.4.1.19
rxn00514,3.6.1.8
rxn01664,Undetermined
rxn03482,3.2.1.86
rxn09992,3.2.1.86
rxn08258,Undetermined
rxn05180,Undetermined
rxn05192,Undetermined
rxn05504,Undetermined
rxn05505,Undetermined
rxn05517,Undetermined
rxn04386,Undetermined
rxn05029,2.5.1.17
rxn01420,1.1.1.87
rxn03324,1.1.1.87
rxn01581,1.5.99.3
rxn08178,Undetermined
rxn08179,Undetermined
rxn10044,"1.10.2.2,"
rxn05516,TC-3.A.3
rxn08257,Undetermined
rxn10046,"Undetermined,"
rxn12605,Undetermined
rxn05161,Undetermined
rxn05168,Undetermined
rxn05179,Undetermined
rxn05533,TC-3.A.1.5
rxn05534,TC-3.A.1.5
rxn05535,TC-3.A.1.5
rxn05536,TC-3.A.1.5
rxn05537,TC-3.A.1.5
rxn05538,TC-3.A.1.5
rxn05539,TC-3.A.1.5
rxn05540,TC-3.A.1.5
rxn05541,TC-3.A.1.5
rxn05542,TC-3.A.1.5
rxn05543,TC-3.A.1.5
rxn05544,TC-3.A.1.5
rxn05545,TC-3.A.1.5
rxn05546,TC-3.A.1.5
rxn05547,TC-3.A.1.5
rxn12848,3.A.1.5
rxn12849,3.A.1.5
rxn12850,3.A.1.5
rxn12851,3.A.1.5
rxn05146,Undetermined
rxn05152,Undetermined
rxn05155,3.A.1.3
rxn02112,1.1.1.4
rxn00871,2.3.1.19
rxn00875,2.8.3.8
rxn00990,2.8.3.8
rxn00994,2.8.3.9
rxn01236,2.7.2.7
rxn01451,1.1.1.35
rxn01453,1.1.1.36
rxn02168,4.2.1.55
rxn02345,5.1.2.3
rxn05216,Undetermined
rxn10136,Undetermined
rxn00191,2.6.1.2
rxn00283,5.1.1.1
rxn00903,2.6.1.6
rxn00904,2.6.1.66
rxn05171,Undetermined
rxn05172,3.A.1.17
rxn00327,3.5.3.19
rxn01746,3.5.3.4
rxn01747,3.5.3.9
rxn01748,3.5.2.5
rxn02102,1.1.1.154
rxn02103,1.1.1.154
rxn03842,3.5.3.9
rxn01281,1.1.1.60
rxn00231,3.5.1.4
rxn05466,Undetermined
rxn08354,Undetermined
rxn08356,Undetermined
rxn09313,Undetermined
rxn09315,Undetermined
rxn00291,3.5.1.96
rxn00394,3.5.3.1
rxn00395,3.5.3.6
rxn00467,2.6.1.13
rxn00471,4.3.1.12
rxn00503,1.5.1.12
rxn00601,2.3.1.109
rxn00856,2.6.1.29
rxn02927,3.5.3.23
rxn02944,2.6.1.81
rxn03422,1.2.1.71
rxn05151,Undetermined
rxn05154,TC-3.A.1.3
rxn05156,Undetermined
rxn05164,Undetermined
rxn05303,Undetermined
rxn10131,Undetermined
rxn00192,2.3.1.1
rxn00469,3.5.1.14
rxn00802,4.3.2.1
rxn01019,2.1.3.3
rxn01434,6.3.4.5
rxn01636,2.3.1.35
rxn01637,2.6.1.11
rxn01917,2.7.2.8
rxn02465,1.2.1.38
rxn00473,4.1.99.1
rxn00497,4.1.1.53
rxn00529,4.1.1.25
rxn01315,1.14.16.1
rxn05301,TC-2.A.3.1
rxn05306,TC-2.A.3.1
rxn05663,TC-2.A.3.1
rxn00020,3.2.1.21
rxn00222,3.2.1.74
rxn00608,3.2.1.86
rxn03481,3.2.1.86
rxn05518,Undetermined
rxn08025,3.2.1.86
rxn09978,3.2.1.21
rxn09979,3.2.1.21
rxn00540,4.1.3.39
rxn01893,4.2.1.80
rxn00737,4.3.1.19
rxn00898,4.2.1.9
rxn00902,2.3.3.13
rxn01045,1.4.1.9
rxn01573,1.4.1.9
rxn02185,2.2.1.6
rxn02187,5.4.99.3
rxn02789,4.2.1.33
rxn02811,4.2.1.33
rxn03062,1.1.1.85
rxn03068,1.1.1.86
rxn03194,2.2.1.6
rxn03435,1.1.1.86
rxn03436,1.1.1.86
rxn03437,4.2.1.9
rxn00157,2.3.1.54
rxn00868,1.3.1.44
rxn01452,1.1.1.157
rxn02167,4.2.1.17
rxn00018,4.1.1.39
rxn01111,2.7.1.19
rxn01334,4.1.2.13
rxn01345,3.1.3.11
rxn05616,TC-1.A.35
rxn10474,Undetermined
rxn01213,2.5.1.1
rxn01466,2.5.1.1
rxn00588,1.13.11.1
rxn02143,2.8.3.6
rxn02144,3.1.1.24
rxn02782,5.5.1.1
rxn02971,5.3.3.4
rxn01895,3.7.1.-
rxn03038,1.13.11.16
rxn00892,2.7.1.59
rxn01484,3.5.1.25
rxn05485,Undetermined
rxn04152,1.14.13.81
rxn04153,1.14.13.81
rxn04154,1.14.13.81
rxn11940,Undetermined
rxn11941,Undetermined
rxn11942,Undetermined
rxn00756,3.1.6.6
rxn01867,1.2.1.8
rxn01868,1.2.1.8
rxn05181,3.A.1.12
rxn05184,Undetermined
rxn10770,Undetermined
rxn01256,5.4.99.5
rxn05213,Undetermined
rxn05214,Undetermined
rxn05589,Undetermined
rxn10150,Undetermined
rxn00292,5.1.3.14
rxn01951,2.7.1.60
rxn10473,Undetermined
rxn02897,2.4.2.21
rxn03150,3.1.3.73
rxn03537,2.7.7.62
rxn03538,2.7.8.26
rxn05315,Undetermined
rxn00100,2.7.1.24
rxn00346,4.1.1.11
rxn00912,2.1.2.11
rxn01790,1.1.1.169
rxn01791,6.3.2.1
rxn02175,2.7.7.3
rxn02186,1.1.1.86
rxn02341,4.1.1.36
rxn09177,6.3.2.5
rxn10180,Undetermined
rxn12510,2.7.1.33
rxn12512,6.3.2.5
rxn02775,2.1.1.130
rxn03491,2.1.1.132
rxn03492,1.3.1.54
rxn03512,5.4.1.2
rxn03513,2.1.1.131
rxn03514,2.1.1.133
rxn03534,2.1.1.152
rxn03536,2.7.1.156
rxn03541,3.5.1.90
rxn04045,4.99.1.3
rxn04046,2.1.1.151
rxn04047,2.1.1.131
rxn04048,2.1.1.133
rxn04050,1.3.1.54
rxn04052,5.4.1.2
rxn04413,2.7.1.156
rxn05054,6.3.1.10
rxn06979,6.3.1.-
rxn07586,Undetermined
rxn07587,Undetermined
rxn07588,Undetermined
rxn07589,Undetermined
rxn10476,Undetermined
rxn11544,Undetermined
rxn11545,Undetermined
rxn01255,4.2.3.5
rxn01332,2.5.1.54
rxn01739,2.7.1.71
rxn01740,1.1.1.25
rxn02212,4.2.3.4
